KAM,Good morning
HCP,Hello
KAM,Hi
KAM," And well I guess just before I start to and I introduce myself, I would just like to take this opportunity firstly to thank you, and and your colleagues for the outstanding work that you've done throughout the pandemic"
KAM," It's been a very challenging year this year, and I'm sure it has been for yourself in the job that you do"
KAM," And so I'll just introduce myself, so you know who I am"
KAM," So I'm Sarah and, and I've worked for Pfizer for 20 years now in various different roles, but most recently, in secondary care, covering anticoagulation, as a VTE specialist"
KAM," And we can probably tell from my accent that I work up in the northeast of England, so Newcastle area, and I guess I was asked to be part of this research, to help to understand how to better engage clinicians like yourselves over a virtual platform"
KAM, And so I guess the majority of what we do now is delivered virtually hence the importance of trying to get it right and make the experience work for both me both ourselves and yourself
KAM, And so it would be really good to understand a little bit more about you about your role and how your time split between research and clinical duties and how you've managed this year and how you've been impacted by a Covid
KAM, So be really good just to get a little bit of insight about yourself
HCP,"Oh, well, that's very nice of you"
HCP," I'm Klaus, I'm a cardiologist"
HCP, I work in Leeds
HCP," I have a half time research and half time, clinical responsibility, I run the heart failure unit in Leeds and I also do pacemaker implantation defibrillaters and stuff"
HCP," And I also, until last month ran the VTE Governance Program for the trust that has been taken over now not unreasonably by a hematologist who has recently been appointed specifically to this role"
HCP," But up until then, there wasn't a hematologist who was taking on this chair role"
HCP," Which meant I managed a very small team of specialists, pharmacists and nurses to do VTE assessments and also do the root cause analysis assessments for people who have hospital acquired VTE's and to and to write the operating protocols for anticoagulation or prophylactic anticoagulation for people coming into hospital"
HCP, And my research interests are around heart failure and device therapy
HCP," So pacemakers, basically how to program them how to use them properly, and how to get the best out of them"
HCP," And so the last that I've been fairly protected, because my primary employer is the university so and I don't do any clinical on call anymore the last few years"
HCP, So I didn't do much in the way of COVID direct facing COVID work but myself and the other x clinical academics ran the outpatient service while our full time clinicians were running the COVID wards
HCP," And so that kind of changed our timetables a little bit, we managed to spend a fair we've I mean, the one thing that has changed is we barely go in"
HCP," So on a Tuesday, on a Wednesday or Thursday, I spend all day in the hospital"
HCP, But I don't do any Ward work
HCP," So Monday, Tuesday, Friday, my research has been run entirely without face to face, which is kind of difficult"
KAM,"Hows that felt because that's a big change, isn't it"
HCP,"Yeah, it's a pain because it because if you're doing mouse work, mice don't get COVID as far as we know"
HCP," So, university shut down everything"
HCP," So my basic science, collaborators struggled for a little while"
HCP, And not because the mice were getting infected
HCP," But because the university felt that there was risks to them going in and working on their, on their animal models and on their basic science, and even the people doing data analytics were barred from going home, from going into work sorry"
HCP," that's now settled largely, and we have a large number of people coming and going for part of the week"
HCP, And but my group is clinical
HCP," So our patients, our patients are our subjects"
HCP, And we're at risk of COVID
HCP," And therefore we have to shut down all clinical research from March until very recently, some very recently, in September started doing clinical clinical research again, which is a real pain"
HCP," And yeah, but but but there we are, so things are starting to settle down a little bit"
KAM,Well thats positive and a good step forward
KAM, Yeah
KAM," I'm actually quite intrigued when I was having a look at role profile, and I wasn't sure how applicable it was going to be to talk to you about VTE, I wasn't sure how often you would come across and pass patients with DVT or PE"
KAM," But I'm quite, I'm quite pleasantly surprised that you have such a role that you've had"
KAM, When did you hand over the reins
HCP,"And, well, about a month ago, I've been doing it for about eight years"
HCP, Okay
HCP," And because it was seen as a non hematology problem, because this is this is not the treatment of DVT and PE's, but the prevention, although I was involved in in the medical and most of the patients, of course, not hematology patients, there medical patients, surgical patients"
HCP," So the role kind of got invited or assigned to a cardiologist as it had been for many years, partly because we do an awful lot of anticoagulation anyway"
HCP," And yeah, but not unreasonably, in the summer, when the hematologist was appointed"
HCP, She had some space in her in her timetable
HCP,So she's now taking that on
HCP, And so I did it until about a month ago
KAM,"Oh, that's brilliant"
KAM, It's brilliant
KAM," So I presume that will be good to understand what um, what your what your VTE protocol looks like"
KAM," Have you had an opportunity to review the recently published by BT guidance, whichever became, it's probably a really bad time in March of this year"
KAM, It would be interesting to understand what your protocol currently look like in terms of managing both inacute and long term treatment patient
HCP,"Yes, so um in in general, the prophylactic and the prophylactics involves obviously low molecular weight heparin, we have shied away from mechanical treatments or mechanical prevention treatments, because the data are really not robust enough, although the surgeons are still quite keen on stockings and inflatable legs and stuff"
HCP," But we really have focused down, we had some issues with delivery to the balance between Tinxaparin and Enoxaparin as you know, towards the end of last year, 2019 became very difficult"
HCP, So we had to change our protocols there
HCP," And in terms of treatment, well, we follow the standard NICE guidelines, there's nothing radical there at all"
HCP, Most people are offered a NOAC
HCP," And in with a loading dose, and then and then a maintenance dose, I think"
KAM,Yeah
KAM, Fantastic
KAM," Obviously, again, in terms of the NICE guidance, it was it was eagerly anticipated, because the previous update was in 2012, which was prior to any of the DOAC's receiving market authorization"
KAM," So it was been, it was quite easy anticipated"
KAM, And I guess there's probably the biggest change is around the long term treatment recommendation
KAM," But I guess in terms of completeness, obviously, the acute phase of treatment was around the recommendations of either apixaban or rivaroxaban in that acute phase of treatment"
KAM," And then, in the longer term treatment says, and I think one of the changes was in terms of if, if the current treatments not well tolerated, or the clinical situation or person's preferences have changed, consider switching to apixababn, if the current treatment is is a doac other than apixaban"
KAM," So obviously, that was quite a big change in terms of that prophylaxis piece"
KAM," And I don't know what what difference that would make at all, and if they're new to your treatment, any longer term prophylactic protocals"
HCP,"So we had had a fairly relaxed approach to it, we have always favored either using rivaroxaban, or apixaban in our population, based on patient preferences around volume of tablets per day"
HCP, I think apixaban was was the flay was the primary and primary approach
HCP," Most people use apixaban, some people were fans of rivaroxaban, but partly simply because of the once a day thing"
HCP, And for older people or people with large volumes of tablets on multiple medications
HCP, So but but it was we never really used much in the way of the other agents for this particular indication
HCP, So it was never really we never really had to change that much when it came through that
HCP," Yeah, as you say that apixaban is should be highly favored"
HCP, It didn't make much difference to our protocols
KAM,"Yeah, that's good"
KAM," That's good to hear cuz obviously, the evidence base and the safety profile was something which was highlighted in the NICE review, around apixban and especially in terms of that belief profile in the longer term treatment phase"
